time	1e4	1e5	1e6	1e7	2e7	3e7	4e7	5e6	5e7	update	watcher
82	0.5117721557617188	0.43941688537597656	0.7878520488739014	-	-	-	-	1.4239249229431152	-	0.46571969985961914	1
83	0.4877746105194092	0.558701753616333	0.19753289222717285	2.7607309818267822	-	-	-	-	-	0.5340850353240967	1
84	0.5116219520568848	0.4406700134277344	0.9304618835449219	-	4.28626012802124	-	-	-	-	0.46544313430786133	1
85	0.4871833324432373	0.5710246562957764	0.9421830177307129	-	-	-	-	1.5752902030944824	-	0.5344748497009277	1
86	0.5125706195831299	0.41847729682922363	-	-	-	5.544428110122681	-	-	8.968678712844849	0.46509885787963867	1
87	0.4872119426727295	0.5800328254699707	1.0948429107666016	-	-	-	-	-	-	0.5376441478729248	1
88	0.5131378173828125	0.4222390651702881	-	-	-	-	-	1.4555866718292236	-	0.45891523361206055	1
89	0.48538994789123535	0.5943374633789062	-	2.1596267223358154	-	-	-	-	-	0.5408391952514648	1
90	0.5145480632781982	0.4053771495819092	1.0178956985473633	-	-	-	7.28781533241272	-	-	0.4589962959289551	1
91	0.48642444610595703	0.5750353336334229	-	-	-	-	-	1.4999442100524902	-	0.5405232906341553	1
92	0.5133829116821289	0.42511558532714844	0.85260009765625	-	3.7392399311065674	-	-	-	-	0.45911097526550293	1
93	0.48467254638671875	0.5932469367980957	1.2428982257843018	1.8360888957977295	-	-	-	-	-	0.5432543754577637	1
94	0.5149986743927002	0.4064497947692871	-	-	-	-	-	1.6146974563598633	-	0.4639625549316406	1
95	0.4861459732055664	0.5740237236022949	-	-	-	-	-	-	-	0.5255286693572998	1
96	0.5120811462402344	0.42749857902526855	0.6411516666412354	-	-	-	-	-	-	0.4756617546081543	1
97	0.4886176586151123	0.5898149013519287	0.37405848503112793	2.1728010177612305	-	5.513138294219971	-	1.3648262023925781	-	0.5225822925567627	1
98	0.5104868412017822	0.40946030616760254	0.6076114177703857	-	-	-	-	-	-	0.4811241626739502	1
99	0.4902968406677246	0.5712647438049316	0.390596866607666	-	-	-	-	-	-	0.5145461559295654	1
100	0.5094525814056396	0.4282567501068115	0.6175186634063721	-	4.208014488220215	-	-	1.5426278114318848	-	0.48496150970458984	1
101	0.48859214782714844	0.5907177925109863	0.3740682601928711	1.8098506927490234	-	-	-	-	-	0.5148274898529053	1
102	0.5111508369445801	0.40874600410461426	0.6265335083007812	-	-	-	-	-	-	0.4848594665527344	1
103	0.4908268451690674	0.5739710330963135	0.5072720050811768	-	-	-	-	1.5875563621520996	-	0.5242578983306885	1
104	0.5076744556427002	0.4310309886932373	0.3588078022003174	-	-	-	-	-	8.97735595703125	0.4659731388092041	1
105	0.4923715591430664	0.5803601741790771	0.6412384510040283	2.1940841674804688	-	-	7.591211557388306	-	-	0.5337460041046143	1
106	0.5058903694152832	0.4195225238800049	0.5050451755523682	-	-	-	-	1.4221320152282715	-	0.4659874439239502	1
107	0.49382853507995605	0.5617167949676514	0.3478391170501709	-	-	-	-	-	-	0.5337634086608887	1
108	0.506680965423584	0.44519996643066406	0.8005037307739258	-	3.673414945602417	5.5306572914123535	-	-	-	0.4659111499786377	1
109	0.49221372604370117	0.565882682800293	1.049330234527588	1.8008449077606201	-	-	-	1.4329979419708252	-	0.5338454246520996	1
110	0.5074687004089355	0.43361759185791016	-	-	-	-	-	-	-	0.4658510684967041	1
111	0.4936378002166748	0.5469703674316406	1.0742127895355225	-	-	-	-	-	-	0.5338754653930664	1
112	0.5068316459655762	0.4536154270172119	-	-	-	-	-	1.687985897064209	-	0.46575093269348145	1
113	0.49060869216918945	0.5644731521606445	-	2.2073237895965576	-	-	-	-	-	0.5339415073394775	1
114	0.5092880725860596	0.43492698669433594	0.8006303310394287	-	-	-	-	-	-	0.4657328128814697	1
115	0.00995153994173617	0.13210693995157877	0.17531681060791016	-	3.4796762466430664	-	-	1.0067951679229736	-	0.21802282333374023	2
116	0.0017725194958474139	0.018747294390643085	0.18309887250264487	-	-	-	-	-	-	0.0003508787583590744	2
117	0.0018006034823127718	0.01786220073699951	0.17504453659057617	1.7601749897003174	-	-	-	0.8749361038208008	-	0.0003981923042459691	2
118	0.001821380699692617	0.017839006015232632	0.1746362050374349	-	-	-	-	-	-	0.0007878123838788728	2
119	0.001844367730930057	0.01786017417907715	0.17426077524820963	-	-	5.294749736785889	-	0.9190857410430908	-	0.0004405763265345427	2
120	0.0018681781826817038	0.01770846597079573	0.17497003078460693	-	-	-	7.026537179946899	-	-	0.0006173884122612224	2
121	0.001897288285768949	0.02144144928973654	0.17452239990234375	1.7453455924987793	-	-	-	0.8764498233795166	-	0.0006399289799122675	2
122	0.0019158686181450632	0.02029026985168457	0.17564606666564941	-	3.46223521232605	-	-	0.883488655090332	8.725013732910156	0.0007620660049655427	2
123	0.001936633914124732	0.018148024876912434	0.17699082692464194	-	-	-	-	-	-	0.0005993251513717766	2
124	0.0019574061272636294	0.01845619413587782	0.17505335807800293	1.7622835636138916	-	-	-	0.8717224597930908	-	0.0007170067458856301	2
125	0.0019766030062633344	0.02186746182649032	0.17514832814534506	-	-	-	-	-	-	0.0008947448976805289	2
126	0.001990082763856457	0.021283656358718872	0.1754608949025472	-	-	-	-	0.8642780780792236	-	0.0010605195294255795	2
127	0.002013204535659479	0.021934303370389072	0.17557024955749512	-	-	-	-	-	-	0.0009520676426546255	2
128	0.00202307544770788	0.02182496112325917	0.1727433204650879	1.7447731494903564	-	-	-	0.872755765914917	-	0.0009959520640709589	2
129	0.002024303247899185	0.01882277594672309	0.19637958208719888	-	3.501748561859131	-	-	0.9037876129150391	-	0.0039777660369873045	2
130	0.0020341981095051078	0.020462026198705036	0.1786836783091227	-	-	5.4300549030303955	-	-	-	0.002804720943624323	2
131	0.0020394443480436465	0.02230182561007413	0.17506563663482666	1.7616801261901855	-	-	-	0.8748264312744141	-	0.0010595212812009064	2
132	0.0020557016134262083	0.020294971466064453	0.17507759730021158	-	-	-	-	-	-	0.002002336290985228	2
133	0.0020567722400362024	0.01796046325138637	0.17547686894734701	-	-	-	-	0.8696951866149902	-	0.0031523337730994592	2
134	0.0020870206728263244	0.01761525869369507	0.19161399205525717	-	-	-	7.005450248718262	-	-	0.0012420496174708549	2
135	0.0020982295908826463	0.017781095845358714	0.17540454864501953	1.7479734420776367	-	-	-	0.8748030662536621	-	0.0008510680106486503	2
136	0.0021017744186076714	0.017450357305592502	0.1747446060180664	-	3.888786792755127	-	-	1.2844667434692383	-	0.0014486737447242215	2
137	0.002212411085051806	0.0178105320249285	0.17488900820414224	-	-	-	-	-	-	0.0012609117560916476	2
138	0.0021169768894179187	0.017681189945765903	0.176071564356486	1.7642366886138916	-	-	-	-	-	0.0011592070640982762	2
139	0.002142309105914572	0.017751208373478482	0.17712227503458658	-	-	-	-	0.8767919540405273	8.896939039230347	0.0009320848505236137	2
140	0.0021856748952274827	0.01774069241115025	0.17578562100728354	-	-	-	-	-	-	0.0009595523238653251	2
141	0.0021864724370230615	0.0181220429284232	0.17553313573201498	-	-	5.54256272315979	-	0.9180824756622314	-	0.0011432701307381623	2
142	0.0022001447422163828	0.018664307064480253	0.17575812339782715	1.7819585800170898	-	-	-	0.8795983791351318	-	0.001963989668158421	2
143	0.0023407427620548774	0.01828189249391909	0.17633541425069174	-	-	-	-	-	-	0.0014603308268955775	2
144	0.0021883934999989197	0.01808683960526078	0.1786381403605143	-	3.4779703617095947	-	-	0.8706972599029541	-	0.0016066423508516404	2
145	0.0021974327308791025	0.018296429089137485	0.17547504107157388	1.808656930923462	-	-	-	-	-	0.002921731925449488	2
146	0.002205289900302887	0.01813744615625452	0.17537848154703775	-	-	-	-	0.8737044334411621	-	0.0017351884951536682	2
147	0.002214816653675028	0.01791559798376901	0.17560982704162598	-	-	-	-	-	-	0.0013469354111273416	2
148	0.00222655996546015	0.017871533121381487	0.17552006244659424	-	-	-	7.14405632019043	0.8713204860687256	-	0.00130493986991144	2
149	0.0022246440251668296	0.01764939512525286	0.17519386609395346	1.7719042301177979	-	-	-	0.8785130977630615	-	0.0012804272919502157	2
150	0.002248426550599538	0.01835061885692455	0.17613855997721353	-	-	-	-	-	-	0.0016860280718122209	2
151	0.002246534824371338	0.018097622053963796	0.1857142448425293	-	3.4663965702056885	-	-	0.8736655712127686	-	0.0014662068514596847	2
152	0.0022590802684766516	0.018594847785101995	0.18543608983357748	-	-	5.549912214279175	-	-	-	0.0014023360489420808	2
153	0.0022810046319608336	0.018659891905608	0.17565953731536865	1.7955305576324463	-	-	-	0.8753166198730469	-	0.0011939314583402974	2
